Может,Тушить пожар,0.7,0.11,0.87,1
Может,Мыть машину,0.2,0.03,0.68,1
Может,Халтурить,1,1,0.2,0.01
Может,Форму,0.77,1,0.99,0.97
Может,Брандспойт,0.32,1,0.97,1
Может,Рацию,1,1,0.99,1
Может,Евграфычем,0.89,0.08,0.06,1
Может,Командиром,0.72,1,0.99,1
Может,Предпринимателем,1,1,0.99,1
Может,Весёлый,0.84,1,0.81,0.34
Может,Пожилой,0.76,1,0.98,0.06
Может,Хитрый,1,1,0.98,0
Может,Смотреть футбол,1,0.69,0.98,1
Может,Чинить машину,0.9,0.36,0.88,1
Может,Стричься,1,0.97,1,1
Может,Короткую стрижку,1,0.97,1,1
Может,Внедорожник,1,0.97,1,1
Может,Воблу,1,0.64,0.36,1
Может,Напарником Вани,1,0.02,0.02,1
Может,Дальнобойщиком,0.82,0,0.02,1
Может,Болельщиком,1,0.52,0.02,1
Может,Добрый,1,0.19,0.01,1
Может,Порядочный,0,0.03,0.01,1
Может,Круглолицый,1,1,0.01,1
Может,Просить прощения,1,0.01,0.01,1
Может,Работать с полицией,1,0,0.01,1
Может,Угнать фуру,1,0,0.01,0
Может,Связь с бандой,0.89,0.38,0.01,0
Может,Порванную куртку,1,0.19,0.01,1
Может,Левые деньги,0.16,0.16,0.01,0.12
Может,Сыном директора,0.99,1,0.96,1
Может,Водителем,0.77,0.04,0.05,1
Может,Втянутым в преступление,0.67,0.03,0.05,1
Может,Наивный,1,0.03,0.05,1
Может,Молодой,1,0.03,0.05,1
Может,Доверчивый,1,0.03,0.05,1
Может,Сжигать,1,1,0.05,1
Может,Играть в бильярд,1,0.75,0.67,1
Может,Угрожать,1,0.85,0.92,0.05
Может,Очки,1,1,0.99,1
Может,Криминальный бизнес,0.27,0.57,0.86,0
Может,Грубый голос,1,1,0.95,0
Может,Преступником,0.34,0.9,1,0
Может,Бизнесменом,0.4,1,1,0.37
Может,Главарём,0.78,1,0.89,0
Может,Опасный,0.94,1,1,0
Может,Разоблачённый,1,1,1,0
Может,Жадный,0.25,0.68,1,0
Имеет,Тушить пожар,0.14,0.53,1,0.89
Имеет,Мыть машину,0.01,0.53,0.42,0.98
Имеет,Халтурить,1,0.16,1,0.1
Имеет,Форму,0.78,1,1,1
Имеет,Брандспойт,0,1,1,1
Имеет,Рацию,0.98,1,1,1
Имеет,Евграфычем,1,0.51,1,1
Имеет,Командиром,0.82,1,0.67,1
Имеет,Предпринимателем,0.66,1,1,1
Имеет,Весёлый,0.66,0.49,0.3,1
Имеет,Пожилой,0.25,1,1,0.26
Имеет,Хитрый,0.11,1,0.58,0.02
Имеет,Смотреть футбол,1,1,0.04,1
Имеет,Чинить машину,1,0.84,0.05,1
Имеет,Стричься,1,0.95,0.05,1
Имеет,Короткую стрижку,1,0.95,0.05,1
Имеет,Внедорожник,1,0.99,0.05,1
Имеет,Воблу,1,0.32,0.05,1
Имеет,Напарником Вани,1,0,0.99,1
Имеет,Дальнобойщиком,0.78,0,0,1
Имеет,Болельщиком,1,0.39,0,1
Имеет,Добрый,0.32,0,0,1
Имеет,Порядочный,0.16,0,0,1
Имеет,Круглолицый,1,0.98,0,1
Имеет,Просить прощения,1,0,0.97,1
Имеет,Работать с полицией,1,0,0.04,1
Имеет,Угнать фуру,1,0,1,0.11
Имеет,Связь с бандой,0.82,0,0.81,0.06
Имеет,Порванную куртку,1,0,1,0.98
Имеет,Левые деньги,0.23,0,1,0.43
Имеет,Сыном директора,1,0.99,1,0.99
Имеет,Водителем,0.84,0.01,0.02,0.99
Имеет,Втянутым в преступление,0.47,0.01,1,0.99
Имеет,Наивный,1,0.01,1,0.99
Имеет,Молодой,0.94,0.01,0.69,0.99
Имеет,Доверчивый,1,0.01,1,0.99
Имеет,Сжигать,1,0.96,1,0.05
Имеет,Играть в бильярд,1,0.74,1,0
Имеет,Угрожать,0.58,0.74,1,0
Имеет,Очки,1,0.99,1,0.49
Имеет,Криминальный бизнес,0.22,0.77,0.78,0.02
Имеет,Грубый голос,1,1,1,0.01
Имеет,Преступником,0.24,0.76,1,0.01
Имеет,Бизнесменом,1,1,1,1
Имеет,Главарём,0.78,1,1,0.22
Имеет,Опасный,0.5,1,1,0.05
Имеет,Разоблачённый,1,1,1,0.05
Имеет,Жадный,0.03,0.75,1,0.05
Является,Тушить пожар,0.1,0.62,1,0.95
Является,Мыть машину,0.02,0.91,0.32,1
Является,Халтурить,1,0.4,1,0.22
Является,Форму,0.83,1,1,1
Является,Брандспойт,0,1,1,1
Является,Рацию,1,1,1,1
Является,Евграфычем,1,0.14,1,1
Является,Командиром,1,0.99,1,1
Является,Предпринимателем,1,0.99,1,1
Является,Весёлый,1,0.65,0.27,0.42
Является,Пожилой,0.89,1,1,0
Является,Хитрый,0.24,0.95,0.79,0
Является,Смотреть футбол,1,0.9,0,1
Является,Чинить машину,1,0.9,0.43,1
Является,Стричься,1,0.97,0.11,1
Является,Короткую стрижку,1,0.97,0.11,1
Является,Внедорожник,1,0.97,0.11,1
Является,Воблу,1,0.25,0.11,1
Является,Напарником Вани,1,0.03,1,1
Является,Дальнобойщиком,0.85,0.03,0.01,1
Является,Болельщиком,1,0.37,0.01,1
Является,Добрый,1,0,0.01,1
Является,Порядочный,0.75,0,0.01,1
Является,Круглолицый,1,0.98,0.01,1
Является,Просить прощения,1,0.01,0.98,1
Является,Работать с полицией,1,0.01,0.09,1
Является,Угнать фуру,1,0.01,1,0.1
Является,Связь с бандой,0.8,0.01,0.89,0.08
Является,Порванную куртку,1,0.01,1,1
Является,Левые деньги,0.13,0.01,1,0.25
Является,Сыном директора,1,0.99,1,1
Является,Водителем,1,0,0.03,1
Является,Втянутым в преступление,0.64,0,1,1
Является,Наивный,1,0,1,1
Является,Молодой,0.87,0,1,1
Является,Доверчивый,1,0,1,1
Является,Сжигать,1,0.98,1,0
Является,Играть в бильярд,1,0.86,1,0
Является,Угрожать,0.27,0.96,1,0
Является,Очки,1,1,1,0.53
Является,Криминальный бизнес,0.16,0.92,0.63,0
Является,Грубый голос,1,0.99,1,0
Является,Преступником,0.23,0.81,1,0
Является,Бизнесменом,1,1,1,0.97
Является,Главарём,1,1,1,1
Является,Опасный,1,1,1,0.04
Является,Разоблачённый,1,1,1,0.04
Является,Жадный,0.1,0.36,1,0.04
Какой,Тушить пожар,0.06,0.14,1,1
Какой,Мыть машину,0.02,0.91,0.21,1
Какой,Халтурить,1,0.24,0.99,0.21
Какой,Форму,0.86,0.95,0.99,0.91
Какой,Брандспойт,0.02,1,0.99,0.98
Какой,Рацию,1,0.97,0.99,1
Какой,Евграфычем,1,0.13,0.99,1
Какой,Командиром,1,1,0.99,1
Какой,Предпринимателем,1,1,0.99,1
Какой,Весёлый,1,0.82,0.34,0.32
Какой,Пожилой,1,1,1,0.15
Какой,Хитрый,0.24,1,0.85,0.1
Какой,Смотреть футбол,1,1,0,1
Какой,Чинить машину,1,0.91,0.36,1
Какой,Стричься,1,0.99,0.13,1
Какой,Короткую стрижку,1,0.99,0.13,1
Какой,Внедорожник,1,0.99,0.13,1
Какой,Воблу,1,0.32,0.13,1
Какой,Напарником Вани,1,0,1,1
Какой,Дальнобойщиком,0.94,0,0,1
Какой,Болельщиком,1,0.46,0,1
Какой,Добрый,1,0.02,0,1
Какой,Порядочный,0.29,0.02,0,1
Какой,Круглолицый,1,0.98,0,1
Какой,Просить прощения,1,0.01,0.99,1
